rpm,temperature,humidity,current,vibration,status
1052.7,59.1,56.0,1.53,0.442,2
1488.9,34.7,57.8,0.66,0.141,0
1497.1,35.2,60.0,0.75,0.079,0
1511.9,34.8,58.9,0.64,0.087,0
1449.4,35.1,60.5,0.74,0.103,0
1538.8,34.9,59.0,0.69,0.092,0
1496.2,35.5,59.7,0.72,0.096,0
1488.9,35.1,61.9,0.72,0.133,0
1458.6,35.2,57.3,0.72,0.091,0
1441.3,44.2,61.2,0.93,0.283,1
1476.4,35.0,58.4,0.73,0.142,0
1526.6,34.4,63.9,0.7,0.088,0
1505.9,36.0,58.9,0.72,0.102,0
1510.1,36.2,61.0,0.65,0.081,0
1297.9,43.9,62.5,1.0,0.276,1
1528.0,34.2,60.0,0.7,0.094,0
1466.0,34.7,60.6,0.7,0.104,0
1490.5,34.9,64.2,0.7,0.132,0
1348.1,44.8,60.9,1.03,0.291,1
1512.2,36.2,61.7,0.72,0.116,0
1524.5,34.5,59.5,0.68,0.109,0
1485.0,35.5,63.5,0.68,0.09,0
1536.0,35.5,61.4,0.74,0.081,0
1384.7,43.8,60.6,0.96,0.238,1
1510.1,35.0,55.4,0.72,0.072,0
1506.7,35.7,59.4,0.68,0.095,0
1535.6,35.2,60.9,0.67,0.09,0
1502.5,35.4,60.1,0.72,0.096,0
1521.5,35.0,60.3,0.79,0.084,0
914.3,59.3,61.8,1.45,0.46,2
1477.6,35.3,56.5,0.74,0.1,0
1500.9,35.5,59.3,0.67,0.11,0
1482.3,35.4,61.7,0.72,0.092,0
1541.9,35.6,60.0,0.67,0.123,0
1489.1,34.8,59.2,0.76,0.105,0
1507.2,35.5,55.3,0.68,0.111,0
1501.7,34.4,60.5,0.72,0.152,0
1486.4,35.5,65.3,0.68,0.13,0
1535.0,36.1,58.8,0.76,0.074,0
1509.7,35.5,58.6,0.75,0.082,0
1510.3,35.6,62.9,0.69,0.144,0
1473.6,34.1,61.0,0.74,0.1,0
1508.3,36.1,63.7,0.72,0.08,0
1500.7,35.0,59.0,0.72,0.096,0
1141.3,59.6,56.5,1.52,0.556,2
1494.1,36.4,62.3,0.76,0.106,0
1423.3,35.0,56.7,0.76,0.089,0
1418.7,45.4,55.5,0.97,0.292,1
1414.7,45.7,58.6,1.11,0.24,1
1506.8,35.8,63.2,0.78,0.069,0
1368.0,43.6,58.1,0.97,0.281,1
1490.9,36.1,62.7,0.77,0.082,0
1514.4,35.5,59.0,0.71,0.129,0
1527.4,35.8,59.8,0.72,0.087,0
1528.5,35.7,59.7,0.75,0.105,0
1398.7,44.6,55.4,1.0,0.38,1
1462.4,35.8,59.0,0.74,0.062,0
1508.8,35.5,62.4,0.72,0.064,0
1524.0,34.9,59.0,0.72,0.061,0
1495.6,34.3,57.4,0.72,0.093,0
1492.3,34.7,59.3,0.73,0.079,0
1490.4,35.5,58.6,0.71,0.144,0
1494.7,36.1,61.7,0.72,0.076,0
1508.1,36.3,58.8,0.72,0.083,0
1455.1,36.4,60.8,0.7,0.104,0
1517.9,35.0,57.9,0.75,0.103,0
1469.1,35.2,62.7,0.72,0.144,0
1505.7,34.3,59.9,0.7,0.087,0
1493.9,34.4,57.9,0.74,0.087,0
1421.2,44.8,62.0,0.97,0.268,1
1491.3,34.4,64.7,0.77,0.093,0
1510.7,34.8,63.6,0.7,0.098,0
1466.3,34.5,61.8,0.73,0.099,0
1486.6,35.4,59.5,0.72,0.079,0
1447.5,35.4,62.4,0.8,0.111,0
1513.3,35.3,59.1,0.7,0.081,0
1401.0,43.5,59.2,0.96,0.309,1
1498.5,35.8,62.8,0.68,0.129,0
1496.0,34.4,58.7,0.71,0.071,0
1484.2,35.6,57.5,0.75,0.092,0
935.5,60.9,60.0,1.58,0.634,2
1500.5,35.5,56.8,0.73,0.12,0
1452.1,34.8,59.4,0.7,0.09,0
1479.5,35.0,57.2,0.71,0.081,0
1403.9,42.6,55.5,1.0,0.331,1
1499.8,36.5,60.6,0.72,0.158,0
1495.6,35.7,59.9,0.72,0.102,0
1491.9,34.5,62.2,0.7,0.071,0
1520.0,35.0,59.0,0.71,0.115,0
1494.8,35.2,58.6,0.67,0.096,0
1534.9,35.3,56.6,0.79,0.104,0
1509.3,35.3,61.4,0.7,0.09,0
1495.6,36.1,55.1,0.68,0.135,0
1043.6,60.3,62.7,1.42,0.517,2
1524.1,35.3,59.0,0.69,0.073,0
1499.7,36.1,60.6,0.75,0.108,0
1495.3,34.9,56.2,0.78,0.069,0
1489.4,34.3,58.1,0.67,0.107,0
1498.6,35.6,58.4,0.64,0.097,0
1515.8,36.1,57.4,0.7,0.086,0
1491.5,34.7,60.7,0.68,0.081,0
1516.4,35.4,59.6,0.69,0.114,0
1509.4,34.8,58.3,0.7,0.086,0
1524.4,34.0,61.5,0.69,0.134,0
1479.4,35.7,57.5,0.74,0.088,0
1537.1,34.5,60.8,0.73,0.093,0
985.7,60.5,58.2,1.57,0.654,2
1519.6,35.4,58.1,0.7,0.117,0
1513.9,34.9,60.0,0.74,0.084,0
1487.3,35.1,56.0,0.73,0.107,0
1494.8,35.8,60.5,0.76,0.11,0
1514.1,35.4,59.9,0.76,0.096,0
1523.8,35.4,62.9,0.75,0.105,0
1510.8,34.7,56.8,0.71,0.077,0
1459.8,35.4,61.2,0.68,0.136,0
1356.7,44.6,58.5,0.96,0.24,1
999.3,58.0,57.4,1.49,0.504,2
1459.3,34.8,62.2,0.72,0.095,0
1487.3,34.8,60.3,0.73,0.106,0
986.5,57.4,62.6,1.35,0.465,2
1383.6,44.0,57.4,0.85,0.287,1
1499.3,35.2,62.4,0.7,0.097,0
1496.6,35.6,62.1,0.76,0.103,0
1529.6,34.8,58.2,0.71,0.089,0
